Song Name,Megasync,Memory Card,,
Balls to the Wall Accept,,,,
Different World Iron Maiden,,,,
2 Minutes To Midnight - 1998 Remastered Version Iron Maiden,,,,
The Number Of The Beast - 1998 Remastered Version Iron Maiden,,,,
Mystery Dio,x,y,,
The Temple of the King Scorpions,,,,
"Doctor, Doctor Michael Schenker Group",,,,
Armed and Ready - 2009 Remaster Michael Schenker Group,,,,
Hammer High Hammerfall,,,,
Last Man Standing Hammerfall,,,,
Hearts On Fire Hammerfall,,,,
Hammer High Hammerfall,,,,
Valley of the Kings Saxon,,,,
Stand Up And Fight Saxon,,,,
747 (Strangers in the Night) - 2009 Remastered Version Saxon,,,,
Battering Ram Saxon,,,,
Wheels Of Steel - 2009 Remastered Version Saxon,,,,
Hotel California Eagles,,,,
I Want Out Helloween,x,y,,
Monochromatic Stains Dark Tranquillity,,,,
Weight Of The End Dark Tranquillity,x,y,,
The Wonders At Your Feet Dark Tranquillity,x,y,,
The Bow And The Arrow Dark Tranquillity,x,y,,
For Broken Words Dark Tranquillity,x,y,,
State Of Trust Dark Tranquillity,x,y,,
Crazy Train - Remastered Ozzy Osbourne,x,y,,
Dream Evil Dio,x,y,,
Suicide Solution Ozzy Osbourne,x,y,,
Paranoid Black Sabbath,,,,
Bark at the Moon Ozzy Osbourne,x,y,,
Let Me Hear You Scream Ozzy Osbourne,x,y,,
Texas Blood Money Upon A Burning Body,,,,
Far Beyond The Sun Yngwie Malmsteen,,,,
Straight Through The Heart Dio,x,y,,
Trilogy Suite Op: 5 Yngwie Malmsteen,,,,
The Wicker Man Iron Maiden,,,,
The Czar: Usurper / Escape / Martyr / Spiral Mastodon,x,y,,
Black Tongue Mastodon,x,y,,
Feast Your Eyes Mastodon,x,y,,
True Believer Testament,x,p,,
Born in a Rut Testament,x,p,,
Jun-Jun Testament,x,p,,
Over The Wall Testament,x,p,,
Frames Crossnail,,,,
Golden Age Kreator,x,y,,
Violent Revolution Kreator,x,y,,
"Your Heaven, My Hell Kreator",x,y,,
Willing Spirit Kreator,x,y,,
Violent Revolution Kreator,xx,,,
Satan Is Real Kreator,,,,
Chosen Time Jeff Loomis,,,,
Dirty Deeds Done Dirt Cheap AC/DC,x,y,,
T.N.T. AC/DC,x,y,,
Smoke On The Water - 1997 Remastered Version Deep Purple,,,,
USA Dubioza kolektiv,,,,
Free.Mp3 - The Pirate Bay Song Dubioza kolektiv,,,,
Russian Dancing Men Mr Weebl,,,,
Perfect Strangers Deep Purple,,,,
Iron Man Black Sabbath,,,,
No More Tears Ozzy Osbourne,x,y,,
Crazy Train - Remastered Ozzy Osbourne,x,y,,
Tape Loop Morcheeba,,,,
Scarborough Stomp Joe Satriani,,,,
#NAME?,x,,,
Lights of Heaven Joe Satriani,,,,
Big City Life Mattafix,,,,
Gates of Horn and Ivory The Agonist,,,,
War of the Gods Amon Amarth,,,,
Deceiver of the Gods Amon Amarth,,,,
Twilight Of The Thunder God Amon Amarth,,,,
March of Mephisto (feat. Shagrath) Kamelot,,,,
Liar Liar (Wasteland Monarchy) Kamelot,,,,
Nightfall Xandria,x,,,
So wie Du warst Unheilig,,,,
Zeit zu gehen Unheilig,,,,
Miststück 2012 Eisbrecher,,,,
Zwischen uns Eisbrecher,,,,
I Miss The Misery Halestorm,,,,
The Hand That Feeds Nine Inch Nails,x,y,,
Every Day Is Exactly The Same Nine Inch Nails,x,y,,
March Of The Pigs Nine Inch Nails,x,y,,
Trip the Darkness Lacuna Coil,x,y,,
Spellbound Lacuna Coil,x,y,,
I Forgive (But I Won't Forget Your Name) Lacuna Coil,x,y,,
Falling Again Lacuna Coil,x,y,,
Swamped Lacuna Coil,x,y,,
Daylight Dancer Lacuna Coil,x,y,,
Devoted Lacuna Coil,x,y,,
"Thank You, Pain The Agonist",,,,
Dark Cell Deadlock,,,,
Never Enough Epica,,,,
Hybris Deadlock,,,,
The Nexus Amaranthe,,,,
Cry for the Moon (The Embrace That Smothers Part 4) Epica,,,,
We Shall All Bleed Deadlock,,,,
Code Of Honor Deadlock,,,,
Panophobia The Agonist,,,,
...and Their Euglogies Sang Me To Sleep The Agonist,,,,
Losing My Religion Lacuna Coil,x,y,,
Heaven's A Lie Lacuna Coil,x,y,,
Our Truth Lacuna Coil,x,y,,
Nemo Nightwish,x,y,,
The Unforgiven III Metallica,,,,
The Day That Never Comes Metallica,,,,
Trigger Hippie Morcheeba,,,,
Blindfold Morcheeba,,,,
Enjoy The Ride Morcheeba,,,,
Blood Like Lemonade Morcheeba,,,,
6 Underground Sneaker Pimps,,,,
6 Underground Sneaker Pimps,,,,
Like Humans Do - Edited Version David Byrne,,,,
Mad About You Hooverphonic,,,,
Piano Man Billy Joel,,,,
The Sky Is Burning Sam Gopal,,,,
The Dark Lord Sam Gopal,,,,
The Pride Five Finger Death Punch,,,,
Bad Company Five Finger Death Punch,,,,
Wrong Side of Heaven Five Finger Death Punch,,,,
Paradise Circus - Gui Boratto Remix Massive Attack,,,,
Teardrop Massive Attack,,,,
The Sea Morcheeba,,,,
Sour Times Portishead,,,,
Roads Portishead,,,,
Glory Box Portishead,,,,
Another Way To Die Disturbed,x,,,
Ov Fire And The Void Behemoth,,,,
Different World Iron Maiden,x,y,,
WWIII KMFDM,,,,
Wasted Years - 1998 Remastered Version Iron Maiden,,,,
Children Of The Damned - 1998 Remastered Version Iron Maiden,,,,
Speed Of Light Iron Maiden,,,,
The Number Of The Beast - 1998 Remastered Version Iron Maiden,,,,
Rip & Tear Mick Gordon,,,,
The Legacy Testament,x,p,,
No Excuses Alice In Chains,,,,
In Quest Of Enigmatic Dreams Old Man's Child,,,,
PUSSY Rammstein,x,y,,
MEIN TEIL Rammstein,x,y,,
Mein Herz Brennt Rammstein,x,y,,
Links 2 3 4 Rammstein,x,y,,
Engel Rammstein,x,y,,
Ich Will Rammstein,x,y,,
AMERIKA Rammstein,x,y,,
Sonne Rammstein,x,y,,
Feuer Frei Rammstein,x,y,,
Du hast Rammstein,x,y,,
Once More 'Round The Sun Mastodon,x,y,,
Crystal Ann (98 Reissue) Annihilator,,,,
Descending Lamb of God,x,y,,
